,Log_GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,year,Ladder_score,Country_name,RI_Central and Eastern Europe,RI_Commonwealth of Independent States,RI_East Asia,RI_Latin America and Caribbean,RI_Middle East and North Africa,RI_North America and ANZ,RI_South Asia,RI_Southeast Asia,RI_Sub-Saharan Africa,RI_Western Europe
51,7.136,0.561,40.3,0.679,0.101,0.836,2006,3.628,128,0,0,0,0,0,0,0,0,1,0
52,11.168,0.904,73.6,0.757,0.138,0.7333983050847457,2006,6.463,129,0,0,0,0,0,0,0,1,0,0
53,10.015,0.954,66.0,0.542,-0.05,0.946,2006,5.265,130,1,0,0,0,0,0,0,0,0,0
54,10.403,0.936,68.0,0.936,0.043,0.708,2006,5.811,131,1,0,0,0,0,0,0,0,0,0
55,9.17,0.854,61.88,0.772,-0.235,0.774,2006,4.728,8,0,1,0,0,0,0,0,0,0,0
56,9.386,0.913,48.02,0.649,-0.084,0.7809455337690632,2006,5.084,134,0,0,0,0,0,0,0,0,1,0
57,9.489,0.918,61.1,0.707,-0.246,0.708,2006,5.658,11,0,1,0,0,0,0,0,0,0,0
58,8.696,0.747,66.88,0.7503373493975903,-0.0252125,0.7178356164383561,2006,4.56,29,0,0,1,0,0,0,0,0,0,0
59,7.36,0.724,43.18,0.306,0.028,0.961,2006,3.435,27,0,0,0,0,0,0,0,0,1,0
60,9.492,0.883,46.82,0.824,-0.195,0.723,2006,4.739,18,0,0,0,0,0,0,0,0,1,0
61,8.073,0.728,52.34,0.849,0.213,0.814,2006,4.535,53,0,0,0,0,0,0,0,0,1,0
62,8.85,0.83,60.74,0.663,0.172,0.706,2006,5.901,55,0,0,0,1,0,0,0,0,0,0
63,7.407,0.694,48.46,0.449,0.401,0.854,2006,3.754,58,0,0,0,1,0,0,0,0,0,0
64,8.462,0.933,64.54,0.65,0.089,0.844,2006,5.397,59,0,0,0,1,0,0,0,0,0,0
65,10.746,0.812,69.4121343283582,0.91,0.156,0.356,2006,5.511,60,0,0,1,0,0,0,0,0,0,0
66,8.145,0.707,55.72,0.774,0.08234065934065934,0.855,2006,5.348,63,0,0,0,0,0,0,1,0,0,0
67,8.85,0.771,59.84,0.713,0.347,0.915,2006,4.947,64,0,0,0,0,0,0,0,1,0,0
68,9.349140983606556,0.97,68.44,0.281,-0.03160797342192691,0.7871396103896103,2006,5.418,36,0,0,0,1,0,0,0,0,0,0
69,9.565,0.937,69.94,0.882,0.06,0.798,2006,7.082,34,0,0,0,1,0,0,0,0,0,0
70,10.27,0.91,64.86,0.749,-0.264,0.797,2006,5.371,45,1,0,0,0,0,0,0,0,0,0
71,11.031,0.959,71.32,0.96,0.109,0.397,2006,7.416,111,0,0,0,0,0,0,0,0,0,1
72,7.485,0.783,48.7,0.787,-0.027,0.649,2006,3.922,147,0,0,0,0,0,0,0,0,1,0
73,8.251,0.807,53.92,0.925,0.439,0.688,2006,5.076,79,0,0,0,0,0,0,0,1,0,0
74,10.659,0.944,71.48,0.789,0.126,0.699,2006,6.583,48,0,0,0,0,0,0,0,0,0,1
75,9.225,0.909,64.9,0.738,-0.004,0.946,2006,6.208,71,0,0,0,1,0,0,0,0,0,0
76,10.745,0.965,69.76,0.969,-0.005,0.132,2006,7.672,47,0,0,0,0,0,0,0,0,0,1
77,7.746,0.793,55.3,0.8657394957983193,0.255,0.829,2006,3.569,23,0,0,0,0,0,0,0,1,0,0
78,7.593,0.761,45.92,0.555,-0.072,0.761,2006,4.014,91,0,0,0,0,0,0,0,0,1,0
79,9.839,0.866,64.96,0.837,0.201,0.74,2006,6.012,89,0,0,0,0,0,0,0,1,0,0
80,6.678,0.554,44.88,0.767,0.2,0.676,2006,3.83,88,0,0,0,0,0,0,0,0,1,0
81,9.804,0.872,58.2,0.731,-0.274,0.865,2006,5.476,74,0,1,0,0,0,0,0,0,0,0
82,8.936,0.812,60.58,0.554,-0.164,0.926,2006,5.102,96,0,1,0,0,0,0,0,0,0,0
83,10.032,0.884,63.16,0.641,-0.229,0.937,2006,4.71,80,1,0,0,0,0,0,0,0,0,0
84,10.31,0.775,70.2,0.715,-0.052,0.799,2006,5.332,135,0,0,1,0,0,0,0,0,0,0
85,7.367,0.796,46.66,0.588,0.028,0.798,2006,3.801,21,0,0,0,0,0,0,0,0,1,0
86,8.185,0.844,59.98,0.678,-0.14,0.879,2006,4.641,78,0,1,0,0,0,0,0,0,0,0
87,11.228,0.919,63.96,0.769,-0.236,0.328,2006,6.076,77,0,0,0,0,1,0,0,0,0,0
88,8.039,0.909,50.22,0.616,-0.02,0.86,2006,4.223,75,0,0,0,0,0,0,0,0,1,0
89,10.046,0.93,63.14,0.567,-0.295,0.967,2006,5.954,85,1,0,0,0,0,0,0,0,0,0
90,9.568,0.853,64.72,0.67,0.069,0.902,2006,4.653,81,0,0,0,0,1,0,0,0,0,0
91,8.007,0.69,45.98,0.653,-0.009,0.907,2006,3.851,24,0,0,0,0,0,0,0,0,1,0
92,8.873,0.878,62.92,0.683,-0.056,0.807,2006,5.701,44,0,0,0,1,0,0,0,0,0,0
93,7.616,0.874,57.2,0.689,0.08234065934065934,0.897,2006,4.567,103,0,0,0,0,0,0,1,0,0,0
94,7.376,0.711,54.04,0.6979004329004329,-0.039,0.7809455337690632,2006,3.98,87,0,0,0,0,0,0,0,0,1,0
95,7.554,0.724,60.64,0.702,-0.088,0.768,2006,4.613,146,0,1,0,0,0,0,0,0,0,0
96,8.335,0.888,65.86,0.886,0.015,0.7333983050847457,2006,5.294,162,0,0,0,0,0,0,0,1,0,0
97,8.912,0.864,65.78,0.724,0.062,0.838,2006,4.345,138,0,0,0,0,0,0,1,0,0,0
98,10.924,0.965,68.06,0.911,0.22540000000000002,0.6,2006,7.182,158,0,0,0,0,0,1,0,0,0,0
99,11.05,0.951,71.54,0.919,0.29,0.408,2006,7.473,143,0,0,0,0,0,0,0,0,0,1
100,7.37,0.76,46.48,0.747,-0.041,0.807,2006,3.734,154,0,0,0,0,0,0,0,0,1,0
101,9.543,0.912,67.44,0.807,-0.113,0.477,2006,5.786,159,0,0,0,1,0,0,0,0,0,0
102,9.044,0.682,64.8,0.52,-0.231,0.85,2006,4.289,5,0,1,0,0,0,0,0,0,0,0
103,10.224,0.887,61.76,0.84,0.141,0.917,2006,5.832,150,0,0,0,1,0,0,0,0,0,0
104,9.46,0.946,65.46,0.798,-0.031,0.646,2006,6.525,161,0,0,0,1,0,0,0,0,0,0
105,8.193,0.903,61.44,0.784,-0.115,0.609,2006,5.232,160,0,1,0,0,0,0,0,0,0,0
106,9.38,0.852,60.12,0.624,-0.257,0.929,2006,4.804,155,0,1,0,0,0,0,0,0,0,0
107,10.389,0.927,71.12,0.817,-0.05499528301886793,0.905,2006,7.173,68,0,0,0,0,1,0,0,0,0,0
108,7.817,0.798,44.26,0.721,-0.006,0.785,2006,4.824,164,0,0,0,0,0,0,0,0,1,0
109,7.711,0.822,41.58,0.431,-0.076,0.905,2006,3.826,165,0,0,0,0,0,0,0,0,1,0
110,11.367,0.903,65.92,0.898,-0.033,0.203,2006,6.734,156,0,0,0,0,1,0,0,0,0,0
111,10.613,0.882,68.68,0.63,-0.03,0.846,2006,6.189,145,0,0,1,0,0,0,0,0,0,0
112,9.942,0.938,66.82,0.733,-0.157,0.852,2006,6.313,4,0,0,0,1,0,0,0,0,0,0
113,10.842,0.936,70.76,0.941,0.302,0.49,2006,7.122,7,0,0,0,0,0,0,0,0,0,1
114,9.461,0.894,64.14,0.863,0.331,0.935,2006,5.885,148,0,0,0,0,0,0,0,1,0,0
115,7.078,0.435,49.26,0.628,-0.007,0.85,2006,3.202,149,0,0,0,0,0,0,0,0,1,0
116,9.887,0.815,68.72,0.662,0.244,0.723,2007,5.698,28,0,0,0,1,0,0,0,0,0,0
117,8.078,0.841,51.54,0.75,0.054,0.799,2007,4.576,75,0,0,0,0,0,0,0,0,1,0
118,8.928,0.848,67.22597368421053,0.381,0.144,0.894,2007,5.104,76,1,0,0,0,0,0,0,0,0,0
119,7.377,0.771,47.42,0.582,-0.06,0.833,2007,4.017,21,0,0,0,0,0,0,0,0,1,0
120,7.419,0.845,47.46,0.708,-0.001,0.881,2007,4.456,154,0,0,0,0,0,0,0,0,1,0
121,10.136,0.836,63.52,0.7,-0.167,0.924,2007,4.667,80,1,0,0,0,0,0,0,0,0,0
122,10.587,0.957,72.06,0.782,-0.093,0.784,2007,6.995,137,0,0,0,0,0,0,0,0,0,1
123,7.196,0.594,49.14,0.79,0.115,0.776,2007,3.701,83,0,0,0,0,0,0,0,0,1,0
124,10.018,0.862,66.94,0.653,-0.141,0.881,2007,6.073,4,0,0,0,1,0,0,0,0,0,0
125,8.258,0.833,60.26,0.684,-0.091,0.929,2007,4.698,78,0,1,0,0,0,0,0,0,0,0
126,10.163,0.941,63.48,0.59,-0.282,0.966,2007,5.808,85,1,0,0,0,0,0,0,0,0,0
127,9.267,0.766,66.04,0.342,0.006,0.926,2007,4.9,17,1,0,0,0,0,0,0,0,0,0
128,8.533,0.682,53.66,0.573,-0.072,0.586,2007,4.149,93,0,0,0,0,0,0,0,0,1,0
129,8.434,0.866,64.48,0.836,0.14,0.826,2007,4.944,106,0,0,0,1,0,0,0,0,0,0
130,10.546,0.967,71.4,0.878,0.279,0.295,2007,7.604,105,0,0,0,0,0,1,0,0,0,0
131,10.881,0.944,70.8,0.896,0.344,0.445,2007,7.452,104,0,0,0,0,0,0,0,0,0,1
132,9.181,0.76,64.9,0.605,-0.251,0.817,2007,4.882,5,0,1,0,0,0,0,0,0,0,0
133,8.714,0.796,59.5,0.78,0.001,0.817,2007,5.628,16,0,0,0,1,0,0,0,0,0,0
134,7.638,0.787,57.7,0.413,0.317,0.891,2007,4.748,103,0,0,0,0,0,0,1,0,0,0
135,9.059,0.828,49.68,0.781,-0.101,0.839,2007,4.886,102,0,0,0,0,0,0,0,0,1,0
136,9.693,0.832,66.2,0.512,-0.134,0.815,2007,5.196,98,1,0,0,0,0,0,0,0,0,0
137,8.307,0.79,54.44,0.867,0.478,0.58,2007,5.364,79,0,0,0,0,0,0,0,1,0,0
138,8.833,0.881,58.82,0.781,0.064,0.918,2007,4.609,97,0,0,1,0,0,0,0,0,0,0
139,8.968,0.804,60.76,0.696,-0.186,0.93,2007,4.775,96,0,1,0,0,0,0,0,0,0,0
140,9.459,0.82,60.64,0.494,-0.241,0.968,2007,5.252,155,0,1,0,0,0,0,0,0,0,0
141,9.878,0.861,58.7,0.806,-0.246,0.865,2007,5.719,74,0,1,0,0,0,0,0,0,0,0
142,9.63,0.918,69.88,0.923,0.098,0.82,2007,7.432,34,0,0,0,1,0,0,0,0,0,0
143,9.881,0.871,65.12,0.844,0.089,0.799,2007,6.239,89,0,0,0,0,0,0,0,1,0,0
144,8.394,0.856,66.02,0.918,0.089,0.754,2007,5.422,162,0,0,0,0,0,0,0,1,0,0
145,6.823,0.748,45.5,0.643,0.074,0.854,2007,4.833,100,0,0,0,0,0,0,0,0,1,0
146,10.727,0.912,72.26,0.684,0.113,0.922,2007,6.574,69,0,0,0,0,0,0,0,0,0,1
147,7.829,0.675,56.1,0.819,0.116,0.879,2007,4.156,23,0,0,0,0,0,0,0,1,0,0
148,10.759,0.926,70.48,0.801,0.167,0.792,2007,6.417,52,0,0,0,0,0,0,0,0,0,1
149,9.117,0.548,65.04,0.464,-0.267,0.697,2007,3.707,51,0,1,0,0,0,0,0,0,0,0
150,8.824,0.811,67.06,0.7503373493975903,-0.176,0.7178356164383561,2007,4.863,29,0,0,1,0,0,0,0,0,0,0
151,6.742,0.6,46.26,0.91,0.202,0.691,2007,4.891,88,0,0,0,0,0,0,0,0,1,0
152,7.871,0.688,45.72,0.682,-0.067,0.948,2007,3.998,164,0,0,0,0,0,0,0,0,1,0
153,8.214,0.825,53.4,0.673,0.011,0.762412429378531,2007,4.477,163,0,0,0,0,1,0,0,0,0,0
